2026-05-31 07:42:39,273 | root | DEBUG | create a new object of <class 'Triangle.Tringle'>
2026-05-31 07:42:39,273 | root | DEBUG | object triangle created, id 4
2026-05-31 07:42:39,274 | shape_manager | INFO | shapes loaded from json
2026-05-31 07:43:27,786 | shape_manager | DEBUG | calulate the max id 4
2026-05-31 07:43:27,787 | shape_manager | DEBUG | extract class type <class 'rectangle.Rectangle'>
2026-05-31 07:43:27,787 | root | DEBUG | create a new object of <class 'rectangle.Rectangle'>
2026-05-31 07:43:27,788 | root | DEBUG | object rectangle created, id 1
2026-05-31 07:43:27,788 | shape_manager | DEBUG | extract class type <class 'Triangle.Tringle'>
2026-05-31 07:43:27,788 | root | DEBUG | create a new object of <class 'Triangle.Tringle'>
2026-05-31 07:43:27,789 | root | DEBUG | object triangle created, id 4
2026-05-31 07:43:27,789 | shape_manager | INFO | shapes loaded from json
2026-05-31 07:43:32,145 | shape_manager | DEBUG | calulate the max id 4
2026-05-31 07:43:32,145 | shape_manager | DEBUG | extract class type <class 'rectangle.Rectangle'>
2026-05-31 07:43:32,146 | root | DEBUG | create a new object of <class 'rectangle.Rectangle'>
2026-05-31 07:43:32,146 | root | DEBUG | object rectangle created, id 1
2026-05-31 07:43:32,146 | shape_manager | DEBUG | extract class type <class 'Triangle.Tringle'>
2026-05-31 07:43:32,146 | root | DEBUG | create a new object of <class 'Triangle.Tringle'>
2026-05-31 07:43:32,146 | root | DEBUG | object triangle created, id 4
2026-05-31 07:43:32,146 | shape_manager | INFO | shapes loaded from json
2026-05-31 07:43:35,504 | shape_manager | DEBUG | all the shapes showed
2026-05-31 07:46:19,051 | shape_manager | DEBUG | calulate the max id 4
2026-05-31 07:46:19,052 | shape_manager | DEBUG | extract class type <class 'rectangle.Rectangle'>
2026-05-31 07:46:19,053 | root | DEBUG | create a new object of <class 'rectangle.Rectangle'>
2026-05-31 07:46:19,054 | root | DEBUG | object rectangle created, id 1
2026-05-31 07:46:19,054 | shape_manager | DEBUG | extract class type <class 'Triangle.Tringle'>
2026-05-31 07:46:19,055 | root | DEBUG | create a new object of <class 'Triangle.Tringle'>
2026-05-31 07:46:19,055 | root | DEBUG | object triangle created, id 4
2026-05-31 07:46:19,055 | shape_manager | INFO | shapes loaded from json
2026-05-31 07:46:31,522 | shape_manager | DEBUG | shape triangle found
2026-05-31 07:46:31,522 | rectangle | DEBUG | object id 1 converted to a dict.
2026-05-31 07:46:31,524 | shape_manager | INFO | shapes saved to json file
2026-05-31 07:46:31,524 | shape_manager | WARNING | shape id: 4 DELETED !
2026-05-31 07:46:41,025 | shape_manager | DEBUG | all the shapes showed
2026-05-31 07:47:33,826 | shape_manager | DEBUG | extract class type <class 'Triangle.Tringle'>
2026-05-31 07:47:33,827 | shape_manager | INFO | a new shape <class 'Triangle.Tringle'> created ID 5 
2026-05-31 07:47:33,827 | root | DEBUG | create a new object of <class 'Triangle.Tringle'>
2026-05-31 07:47:33,827 | root | DEBUG | object triangle created, id 5
2026-05-31 07:47:33,827 | rectangle | DEBUG | object id 1 converted to a dict.
2026-05-31 07:47:33,827 | Triangle | DEBUG | object id 5 converted to a dict.
2026-05-31 07:47:33,829 | shape_manager | INFO | shapes saved to json file
2026-05-31 07:47:36,310 | shape_manager | DEBUG | all the shapes showed
2026-05-31 07:49:20,658 | shape_manager | DEBUG | shape triangle found
2026-05-31 08:19:49,548 | shape_manager | DEBUG | calulate the max id 5
2026-05-31 08:19:49,549 | shape_manager | DEBUG | extract class type <class 'rectangle.Rectangle'>
2026-05-31 08:19:49,549 | root | DEBUG | create a new object of <class 'rectangle.Rectangle'>
2026-05-31 08:19:49,550 | root | DEBUG | object rectangle created, id 1
2026-05-31 08:19:49,550 | shape_manager | DEBUG | extract class type <class 'Triangle.Tringle'>
2026-05-31 08:19:49,550 | root | DEBUG | create a new object of <class 'Triangle.Tringle'>
2026-05-31 08:19:49,550 | root | DEBUG | object triangle created, id 5
2026-05-31 08:19:49,551 | shape_manager | INFO | shapes loaded from json
2026-05-31 08:19:56,854 | shape_manager | DEBUG | extract class type <class 'hexagon.Hexagon'>
2026-05-31 08:19:56,854 | shape_manager | INFO | a new shape <class 'hexagon.Hexagon'> created ID 6 
2026-05-31 08:19:56,854 | root | DEBUG | create a new object of <class 'hexagon.Hexagon'>
2026-05-31 08:19:56,855 | root | DEBUG | object hexagon created, id 6
